provider,hospital,hospcity,hospstate,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
10051,Greene County Hospital,Eutaw,AL,1082,Tuscaloosa,AL,9,Tuscaloosa,AL
10052,Lake Martin Community Hospital,Dadeville,AL,1023,Dadeville,AL,1,Birmingham,AL
10054,Parkway Medical Center,Decatur,AL,1024,Decatur,AL,5,Huntsville,AL
10055,Flowers Hospital,Dothan,AL,1026,Dothan,AL,2,Dothan,AL
10056,St. Vincent's Birmingham,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10058,Bibb Medical Center,Centreville,AL,1019,Centreville,AL,9,Tuscaloosa,AL
10059,Lawrence Medical Center,Moulton,AL,1060,Moulton,AL,1,Birmingham,AL
10061,Highlands Medical Center,Scottsboro,AL,1074,Scottsboro,AL,5,Huntsville,AL
10062,Wiregrass Medical Center,Geneva,AL,1040,Geneva,AL,2,Dothan,AL
10065,Russell Medical Center,Alexander City,AL,1002,Alexander City,AL,1,Birmingham,AL
10066,Florala Memorial Hospital,Florala,AL,1035,Florala,AL,134,Pensacola,FL
10069,Medical Center Barbour,Eufaula,AL,1029,Eufaula,AL,2,Dothan,AL
10073,Clay County Hospital,Ashland,AL,1006,Ashland,AL,1,Birmingham,AL
10078,Northeast Alabama Reg Med Ctr,Anniston,AL,1004,Anniston,AL,1,Birmingham,AL
10079,Athens-Limestone Hospital,Athens,AL,1007,Athens,AL,5,Huntsville,AL
10083,South Baldwin Regional Med Ctr,Foley,AL,1037,Foley,AL,6,Mobile,AL
10085,Decatur General Hospital,Decatur,AL,1024,Decatur,AL,5,Huntsville,AL
10086,Northwest Medical Center,Winfield,AL,1088,Winfield,AL,1,Birmingham,AL
10087,Univ of South Alabama Med Ctr,Mobile,AL,1057,Mobile,AL,6,Mobile,AL
10089,Walker Baptist Medical Center,Jasper,AL,1054,Jasper,AL,1,Birmingham,AL
10090,Providence Hospital,Mobile,AL,1057,Mobile,AL,6,Mobile,AL
10091,Grove Hill Memorial Hospital,Grove Hill,AL,1045,Grove Hill,AL,6,Mobile,AL
10092,DCH Regional Medical Center,Tuscaloosa,AL,1082,Tuscaloosa,AL,9,Tuscaloosa,AL
10095,Hale County Hospital,Greensboro,AL,1082,Tuscaloosa,AL,9,Tuscaloosa,AL
10097,Elmore Community Hospital,Wetumpka,AL,1059,Montgomery,AL,7,Montgomery,AL
10099,D. W. McMillan Memorial Hospital,Brewton,AL,1013,Brewton,AL,134,Pensacola,FL
10100,Thomas Hospital,Fairhope,AL,1032,Fairhope,AL,6,Mobile,AL
10101,Citizens Baptist Medical Center,Talladega,AL,1078,Talladega,AL,1,Birmingham,AL
10102,J. Paul Jones Hospital,Camden,AL,1016,Camden,AL,1,Birmingham,AL
10103,Princeton Baptist Medical Center,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10104,Trinity Medical Center,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10108,Prattville Baptist Hospital,Prattville,AL,1070,Prattville,AL,7,Montgomery,AL
10109,Pickens County Medical Center,Carrollton,AL,1017,Carrollton,AL,9,Tuscaloosa,AL
10110,Bullock County Hospital,Union Springs,AL,1083,Union Springs,AL,7,Montgomery,AL
10112,Bryan W. Whitfield Memorial Hosp,Demopolis,AL,1025,Demopolis,AL,1,Birmingham,AL
10113,Mobile Infirmary Medical Center,Mobile,AL,1057,Mobile,AL,6,Mobile,AL
10114,Medical West,Bessemer,AL,1010,Bessemer,AL,1,Birmingham,AL
10118,Vaughan Regional Medical Center,Selma,AL,1075,Selma,AL,1,Birmingham,AL
10120,Monroe County Hospital,Monroeville,AL,1058,Monroeville,AL,6,Mobile,AL
10125,Lakeland Community Hospital,Haleyville,AL,1047,Haleyville,AL,1,Birmingham,AL
10126,Troy Regional Medical Center,Troy,AL,1081,Troy,AL,7,Montgomery,AL
10128,Jackson Medical Center,Jackson,AL,1057,Mobile,AL,6,Mobile,AL
10129,North Baldwin Infirmary,Bay Minette,AL,1057,Mobile,AL,6,Mobile,AL
10130,St. Vincent's St. Clair,Pell City,AL,1011,Birmingham,AL,1,Birmingham,AL
10131,Crestwood Medical Center,Huntsville,AL,1051,Huntsville,AL,5,Huntsville,AL
10137,Cooper Green Mercy Hospital,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10138,Hill Hospital of Sumter County,York,AL,25056,Meridian,MS,260,Meridian,MS
10139,Brookwood Medical Center,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10144,Springhill Memorial Hospital,Mobile,AL,1057,Mobile,AL,6,Mobile,AL
10145,Northport Medical Center,Northport,AL,1082,Tuscaloosa,AL,9,Tuscaloosa,AL
10146,Jacksonville Medical Center,Jacksonville,AL,1053,Jacksonville,AL,1,Birmingham,AL
10148,Evergreen Medical Center,Evergreen,AL,1031,Evergreen,AL,7,Montgomery,AL
10149,Baptist Medical Center East,Montgomery,AL,1059,Montgomery,AL,7,Montgomery,AL
10150,L. V. Stabler Memorial Hospital,Greenville,AL,1044,Greenville,AL,7,Montgomery,AL
10152,Infirmary West,Mobile,AL,1057,Mobile,AL,6,Mobile,AL
10157,Shoals Hospital,Muscle Shoals,AL,1061,Muscle Shoals/Sheffield,AL,1,Birmingham,AL
10158,Russellville Hospital,Russellville,AL,1073,Russellville,AL,1,Birmingham,AL
10164,Coosa Valley Medical Center,Sylacauga,AL,1077,Sylacauga,AL,1,Birmingham,AL
10167,UAB Highlands,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10168,Jack Hughston Memorial Hospital,Phenix City,AL,1068,Phenix City,AL,146,Columbus,GA
10169,Atmore Community Hospital,Atmore,AL,1008,Atmore,AL,134,Pensacola,FL
10170,Noland Hospital Shelby,Alabaster,AL,1001,Alabaster,AL,1,Birmingham,AL
11300,Washington Cty Hosp/Nursing Home,Chatom,AL,1057,Mobile,AL,6,Mobile,AL
11302,Red Bay Hospital,Red Bay,AL,1071,Red Bay,AL,1,Birmingham,AL
11303,Randolph Medical Center,Roanoke,AL,1072,Roanoke,AL,1,Birmingham,AL
20001,Providence Alaska Medical Center,Anchorage,AK,2001,Anchorage,AK,10,Anchorage,AK
20006,Mat-Su Regional Medical Center,Palmer,AK,2009,Palmer,AK,10,Anchorage,AK
20008,Bartlett Regional Hospital,Juneau,AK,2005,Juneau,AK,10,Anchorage,AK
20012,Fairbanks Memorial Hospital,Fairbanks,AK,2003,Fairbanks,AK,10,Anchorage,AK
20017,Alaska Regional Hospital,Anchorage,AK,2001,Anchorage,AK,10,Anchorage,AK
20018,Yukon-Kuskokwim Delta Reg Hosp,Bethel,AK,2017,Bethel,AK,10,Anchorage,AK
20024,Central Peninsula General Hosp,Soldotna,AK,2013,Soldotna,AK,10,Anchorage,AK
20026,Alaska Native Medical Center,Anchorage,AK,2001,Anchorage,AK,10,Anchorage,AK
20027,SEARHC Mt. Edgecumbe Hospital,Sitka,AK,2012,Sitka,AK,10,Anchorage,AK
21301,Providence Valdez Medical Center,Valdez,AK,2014,Valdez,AK,10,Anchorage,AK
21302,Providence Seward Medical Center,Seward,AK,2011,Seward,AK,10,Anchorage,AK
21303,Sitka Community Hospital,Sitka,AK,2012,Sitka,AK,10,Anchorage,AK
21304,Petersburg Medical Center,Petersburg,AK,2010,Petersburg,AK,10,Anchorage,AK
21305,Wrangell Medical Center,Wrangell,AK,2015,Wrangell,AK,10,Anchorage,AK
21306,Providence Kodiak Island Med Ctr,Kodiak,AK,2007,Kodiak,AK,10,Anchorage,AK
21307,Cordova Community Medical Center,Cordova,AK,2002,Cordova,AK,10,Anchorage,AK
21308,Norton Sound Regional Hospital,Nome,AK,2008,Nome,AK,10,Anchorage,AK
21309,Bristol Bay Area Hlth Corporation,Dillingham,AK,2018,Dillingham,AK,10,Anchorage,AK
21310,Maniilaq Health Center,Kotzebue,AK,2019,Kotzebue,AK,10,Anchorage,AK
21311,Ketchikan General Hospital,Ketchikan,AK,2006,Ketchikan,AK,10,Anchorage,AK
21312,Samuel Simmonds Memorial Hosp,Barrow,AK,2016,Barrow,AK,10,Anchorage,AK
21313,South Peninsula Hospital,Homer,AK,2004,Homer,AK,10,Anchorage,AK
30001,Maryvale Hospital Medical Center,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30002,Banner Good Samaritan Med Ctr,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30006,TMC Healthcare,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30007,Verde Valley Medical Center,Cottonwood,AZ,3006,Cottonwood,AZ,12,Phoenix,AZ
30010,Carondelet St. Mary's Hospital,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30011,Carondelet St. Joseph's Hospital,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30012,Yavapai Regional Medical Center,Prescott,AZ,3023,Prescott,AZ,12,Phoenix,AZ
30013,Yuma Regional Medical Center,Yuma,AZ,3037,Yuma,AZ,12,Phoenix,AZ
30014,John C. Lincoln North Mountain,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30016,Casa Grande Regional Med Ctr,Casa Grande,AZ,3004,Casa Grande,AZ,12,Phoenix,AZ
30022,Maricopa Integrated Health Sys,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30023,Flagstaff Medical Center,Flagstaff,AZ,3008,Flagstaff,AZ,12,Phoenix,AZ
30024,St. Joseph's Hosp and Med Ctr,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30030,Phoenix Baptist Hospital,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30033,Payson Regional Medical Center,Payson,AZ,3021,Payson,AZ,12,Phoenix,AZ
30036,Chandler Regional Medical Center,Chandler,AZ,3005,Chandler,AZ,11,Mesa,AZ
30037,St. Luke's Medical Center,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30038,Scottsdale Healthcare-Osborn,Scottsdale,AZ,3025,Scottsdale,AZ,12,Phoenix,AZ
30043,Sierra Vista Regional Health Ctr,Sierra Vista,AZ,3027,Sierra Vista,AZ,15,Tucson,AZ
30055,Kingman Regional Medical Center,Kingman,AZ,3014,Kingman,AZ,12,Phoenix,AZ
30061,Banner Boswell Medical Center,Sun City,AZ,3029,Sun City,AZ,14,Sun City,AZ
30062,Summit Healthcare Reg Med Ctr,Show Low,AZ,3026,Show Low,AZ,12,Phoenix,AZ
30064,University Medical Center-Tucson,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30065,Banner Desert Medical Center,Mesa,AZ,3016,Mesa,AZ,11,Mesa,AZ
30067,La Paz Regional Hospital,Parker,AZ,3020,Parker,AZ,12,Phoenix,AZ
30068,Mt. Graham Regional Med Ctr,Safford,AZ,3024,Safford,AZ,15,Tucson,AZ
30069,Havasu Regional Medical Center,Lake Havasu City,AZ,3015,Lake Havasu City,AZ,12,Phoenix,AZ
30071,Fort Defiance Indian Hlth Svc Hosp,Fort Defiance,AZ,3010,Ganado,AZ,293,Albuquerque,NM
30073,Tuba City Reg Hlth Care Corp,Tuba City,AZ,3044,Tuba City,AZ,12,Phoenix,AZ
30074,US Pub Hlth Svc Indian-Sells,Sells,AZ,3032,Tucson,AZ,15,Tucson,AZ
30077,US Pub Hlth Svc Indian-San Carlos,San Carlos,AZ,3042,San Carlos,AZ,12,Phoenix,AZ
30078,US Pub Hlth Svc Phoenix Indian,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30083,Paradise Valley Hospital,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30084,Chinle Comprehensive Hlth Care,Chinle,AZ,3038,Chinle,AZ,293,Albuquerque,NM
30085,Northwest Med Ctr-Tucson,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30087,Scottsdale Healthcare Shea,Scottsdale,AZ,3025,Scottsdale,AZ,12,Phoenix,AZ
30088,Banner Baywood Medical Center,Mesa,AZ,3016,Mesa,AZ,11,Mesa,AZ
30089,Banner Thunderbird Med Ctr,Glendale,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30092,John C. Lincoln Deer Valley,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30093,Banner Del E. Webb Med Ctr,Sun City West,AZ,3029,Sun City,AZ,14,Sun City,AZ
30094,Arrowhead Hospital,Glendale,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30100,Carondelet Heart & Vascular Inst,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30101,Western Arizona Regional Med Ctr,Bullhead City,AZ,3003,Bullhead City,AZ,279,Las Vegas,NV
30103,Mayo Clinic Hospital,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30105,Banner Heart Hospital,Mesa,AZ,3016,Mesa,AZ,11,Mesa,AZ
30107,Arizona Spine and Joint Hospital,Mesa,AZ,3016,Mesa,AZ,11,Mesa,AZ
30108,Surg Specialty Hosp of Arizona,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30110,West Valley Hospital,Goodyear,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30111,University Physicians Hospital,Tucson,AZ,3032,Tucson,AZ,15,Tucson,AZ
30112,Arizona Orthopedic Surgical Hosp,Chandler,AZ,3005,Chandler,AZ,11,Mesa,AZ
30113,US Pub Hlth Svc Indian-Whiteriver,Whiteriver,AZ,3026,Show Low,AZ,12,Phoenix,AZ
30114,Northwest Med Ctr-Oro Valley,Oro Valley,AZ,3032,Tucson,AZ,15,Tucson,AZ
30115,Banner Estrella Medical Center,Phoenix,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
30117,Valley View Medical Center,Fort Mohave,AZ,3003,Bullhead City,AZ,279,Las Vegas,NV
30118,Yavapai Regional Med Ctr - East,Prescott Valley,AZ,3023,Prescott,AZ,12,Phoenix,AZ
30119,Mercy Gilbert Medical Center,Gilbert,AZ,3016,Mesa,AZ,11,Mesa,AZ
30120,Gilbert Hospital,Gilbert,AZ,3016,Mesa,AZ,11,Mesa,AZ
30121,Mountain Vista Medical Center,Mesa,AZ,3016,Mesa,AZ,11,Mesa,AZ
30122,Banner Gateway Medical Center,Gilbert,AZ,3016,Mesa,AZ,11,Mesa,AZ
30123,Scottsdale Hlthcare Thompson Peak,Scottsdale,AZ,3025,Scottsdale,AZ,12,Phoenix,AZ
30126,Arizona Regional Medical Center,Mesa,AZ,3016,Mesa,AZ,11,Mesa,AZ
30128,Hualapai Mountain Medical Center,Kingman,AZ,3014,Kingman,AZ,12,Phoenix,AZ
30129,Florence Community Healthcare,Florence,AZ,3009,Florence,AZ,11,Mesa,AZ
30130,Banner Ironwood Medical Center,San Tan Valley,AZ,3016,Mesa,AZ,11,Mesa,AZ
31300,Wickenburg Community Hospital,Wickenburg,AZ,3033,Wickenburg,AZ,14,Sun City,AZ
31301,Benson Hospital,Benson,AZ,3032,Tucson,AZ,15,Tucson,AZ
31302,Northern Cochise Community Hosp,Willcox,AZ,3034,Willcox,AZ,15,Tucson,AZ
31303,Southeast Arizona Medical Center,Douglas,AZ,3007,Douglas,AZ,15,Tucson,AZ
31304,Page Hospital,Page,AZ,3019,Page,AZ,12,Phoenix,AZ
31305,Hopi Health Care Center,Polacca,AZ,3040,Keams Canyon,AZ,12,Phoenix,AZ
31307,US Pub Hlth Svc Indian-Parker,Parker,AZ,3020,Parker,AZ,12,Phoenix,AZ
31308,Huhukam Memorial Hospital,Sacaton,AZ,3022,Phoenix,AZ,12,Phoenix,AZ
31309,Sage Memorial Hospital,Ganado,AZ,3010,Ganado,AZ,293,Albuquerque,NM
31311,Little Colorado Medical Center,Winslow,AZ,3035,Winslow,AZ,12,Phoenix,AZ
31312,Copper Queen Community Hospital,Bisbee,AZ,3002,Bisbee,AZ,15,Tucson,AZ
31313,Carondelet Holy Cross Hospital,Nogales,AZ,3032,Tucson,AZ,15,Tucson,AZ
31314,Cobre Valley Regional Med Ctr,Globe,AZ,3047,Claypool,AZ,12,Phoenix,AZ
31315,White Mountain Regional Med Ctr,Springerville,AZ,3028,Springerville,AZ,12,Phoenix,AZ
40001,Siloam Springs Memorial Hospital,Siloam Springs,AR,4067,Siloam Springs,AR,21,Springdale,AR
40002,Johnson Regional Medical Center,Clarksville,AR,4013,Clarksville,AR,19,Little Rock,AR
40004,Washington Regional Med Ctr,Fayetteville,AR,4026,Fayetteville,AR,21,Springdale,AR
40007,St. Vincent Infirmary Med Ctr,Little Rock,AR,4041,Little Rock,AR,19,Little Rock,AR
40010,Mercy Medical Center,Rogers,AR,4063,Rogers,AR,21,Springdale,AR
40011,Chambers Memorial Hospital,Danville,AR,4018,Danville,AR,19,Little Rock,AR
40014,White County Medical Center,Searcy,AR,4066,Searcy,AR,19,Little Rock,AR
40015,Mena Regional Health System,Mena,AR,4046,Mena,AR,16,Fort Smith,AR
40016,UAMS Medical Center,Little Rock,AR,4041,Little Rock,AR,19,Little Rock,AR
40017,North Arkansas Regional Med Ctr,Harrison,AR,4031,Harrison,AR,21,Springdale,AR
40018,Summit Medical Center,Van Buren,AR,4029,Fort Smith,AR,16,Fort Smith,AR
40019,Forrest City Medical Center,Forrest City,AR,4028,Forrest City,AR,379,Memphis,TN
40020,St. Bernards Medical Center,Jonesboro,AR,4039,Jonesboro,AR,18,Jonesboro,AR
40022,Northwest Medical Center,Springdale,AR,4068,Springdale,AR,21,Springdale,AR
40026,St. Joseph's Mercy Health Center,Hot Springs,AR,4035,Hot Springs,AR,19,Little Rock,AR
40027,Baxter Regional Medical Center,Mountain Home,AR,4049,Mountain Home,AR,270,Springfield,MO
40029,Conway Regional Medical Center,Conway,AR,4015,Conway,AR,19,Little Rock,AR
40036,Baptist Health-North Little Rock,North Little Rock,AR,4054,North Little Rock,AR,19,Little Rock,AR
40039,Arkansas Methodist Med Ctr,Paragould,AR,4057,Paragould,AR,18,Jonesboro,AR
40041,St. Mary's Regional Med Ctr,Russellville,AR,4064,Russellville,AR,19,Little Rock,AR
40042,Crittenden Memorial Hospital,West Memphis,AR,4075,West Memphis,AR,379,Memphis,TN
40047,Five Rivers Medical Center,Pocahontas,AR,4061,Pocahontas,AR,18,Jonesboro,AR
40050,Ouachita County Medical Center,Camden,AR,4011,Camden,AR,19,Little Rock,AR
40051,Drew Memorial Hospital,Monticello,AR,4047,Monticello,AR,19,Little Rock,AR
40055,Sparks Regional Medical Center,Fort Smith,AR,4029,Fort Smith,AR,16,Fort Smith,AR
40062,St. Edward Mercy Medical Center,Fort Smith,AR,4029,Fort Smith,AR,16,Fort Smith,AR
40067,Magnolia Regional Medical Center,Magnolia,AR,4042,Magnolia,AR,19,Little Rock,AR
40069,Great River Medical Center,Blytheville,AR,4007,Blytheville,AR,379,Memphis,TN
40071,Jefferson Regional Med Ctr,Pine Bluff,AR,4060,Pine Bluff,AR,19,Little Rock,AR
40072,Baptist Health-Stuttgart,Stuttgart,AR,4069,Stuttgart,AR,19,Little Rock,AR
40074,North Metro Medical Center,Jacksonville,AR,4038,Jacksonville,AR,19,Little Rock,AR
40076,H.S.C. Medical Center,Malvern,AR,4043,Malvern,AR,19,Little Rock,AR
40078,National Park Medical Center,Hot Springs,AR,4035,Hot Springs,AR,19,Little Rock,AR
40080,Harris Hospital,Newport,AR,4053,Newport,AR,19,Little Rock,AR
40084,Saline Memorial Hospital,Benton,AR,4004,Benton,AR,19,Little Rock,AR
40085,Helena Regional Medical Center,Helena,AR,4033,Helena,AR,379,Memphis,TN
40088,Medical Center of South Arkansas,El Dorado,AR,4024,El Dorado,AR,19,Little Rock,AR
40091,Medical Park Hospital,Hope,AR,4034,Hope,AR,22,Texarkana,AR
40114,Baptist Health-Little Rock,Little Rock,AR,4041,Little Rock,AR,19,Little Rock,AR
40118,NEA Baptist Memorial Hospital,Jonesboro,AR,4039,Jonesboro,AR,18,Jonesboro,AR
40119,White River Medical Center,Batesville,AR,4003,Batesville,AR,19,Little Rock,AR
40134,Arkansas Heart Hospital,Little Rock,AR,4041,Little Rock,AR,19,Little Rock,AR
40137,St. Vincent Medical Center-North,Sherwood,AR,4054,North Little Rock,AR,19,Little Rock,AR
40147,Arkansas Surgical Hospital,North Little Rock,AR,4054,North Little Rock,AR,19,Little Rock,AR
40152,Physicians' Specialty Hospital,Fayetteville,AR,4026,Fayetteville,AR,21,Springdale,AR
41300,North Logan Mercy Hospital,Paris,AR,4029,Fort Smith,AR,16,Fort Smith,AR
41302,River Valley Medical Center,Dardanelle,AR,4019,Dardanelle,AR,19,Little Rock,AR
41303,Mercy Hospital-Turner Memorial,Ozark,AR,4056,Ozark,AR,16,Fort Smith,AR
41304,Eureka Springs Hospital,Eureka Springs,AR,4025,Eureka Springs,AR,270,Springfield,MO
41305,Mercy Hospital of Scott County,Waldron,AR,4072,Waldron,AR,16,Fort Smith,AR
41306,Community Med Ctr of Izard Cty,Calico Rock,AR,4010,Calico Rock,AR,19,Little Rock,AR
41307,CrossRidge Community Hospital,Wynne,AR,4076,Wynne,AR,379,Memphis,TN
41308,McGehee-Desha County Hospital,McGehee,AR,4045,McGehee,AR,19,Little Rock,AR
41309,Lawrence Memorial Hospital,Walnut Ridge,AR,4039,Jonesboro,AR,18,Jonesboro,AR
41310,Stone County Medical Center,Mountain View,AR,4050,Mountain View,AR,19,Little Rock,AR
41311,Howard Memorial Hospital,Nashville,AR,4052,Nashville,AR,22,Texarkana,AR
41312,Baptist Health-Heber Springs,Heber Springs,AR,4032,Heber Springs,AR,19,Little Rock,AR
41313,Ozark Health Medical Center,Clinton,AR,4041,Little Rock,AR,19,Little Rock,AR
41314,DeWitt Hospital,De Witt,AR,4021,De Witt,AR,19,Little Rock,AR
41316,South Mississippi Cty Reg Med Ctr,Osceola,AR,4055,Osceola,AR,379,Memphis,TN
41317,Dallas County Medical Center,Fordyce,AR,4027,Fordyce,AR,19,Little Rock,AR
41318,Booneville Community Hospital,Booneville,AR,4008,Booneville,AR,16,Fort Smith,AR
41319,De Queen Medical Center,De Queen,AR,4020,De Queen,AR,22,Texarkana,AR
41320,Little River Memorial Hospital,Ashdown,AR,4002,Ashdown,AR,22,Texarkana,AR
41321,Baptist Health-Arkadelphia,Arkadelphia,AR,4001,Arkadelphia,AR,19,Little Rock,AR
41322,Fulton County Hospital,Salem,AR,4065,Salem,AR,19,Little Rock,AR
41323,Ashley County Medical Center,Crossett,AR,4017,Crossett,AR,19,Little Rock,AR
41324,St. Vincent Morrilton,Morrilton,AR,4048,Morrilton,AR,19,Little Rock,AR
41326,Delta Memorial Hospital,Dumas,AR,4023,Dumas,AR,19,Little Rock,AR
41327,Bradley County Medical Center,Warren,AR,4074,Warren,AR,19,Little Rock,AR
41328,Chicot Memorial Medical Center,Lake Village,AR,4040,Lake Village,AR,19,Little Rock,AR
41329,St. John's Hospital-Berryville,Berryville,AR,4006,Berryville,AR,21,Springdale,AR
41330,Piggott Community Hospital,Piggott,AR,4059,Piggott,AR,18,Jonesboro,AR
41331,Ozarks Community Hospital,Gravette,AR,4030,Gravette,AR,21,Springdale,AR
42011,Advanced Care Hosp of White Cty,Searcy,AR,4066,Searcy,AR,19,Little Rock,AR
50002,St. Rose Hospital,Hayward,CA,5095,Hayward,CA,65,Alameda County,CA
50006,St. Joseph Hospital-Eureka,Eureka,CA,5066,Eureka,CA,73,Redding,CA
50007,Mills-Peninsula Health Services,Burlingame,CA,5029,Burlingame,CA,85,San Mateo County,CA
50008,California Pacific-Davies Campus,San Francisco,CA,5208,San Francisco,CA,81,San Francisco,CA
50009,Queen of the Valley Med Ctr,Napa,CA,5150,Napa,CA,62,Napa,CA
50013,St. Helena Hospital,St. Helena,CA,5055,Deer Park,CA,62,Napa,CA
50014,Sutter Amador Hospital,Jackson,CA,5104,Jackson,CA,77,Sacramento,CA
50016,Arroyo Grande Community Hospital,Arroyo Grande,CA,5009,Arroyo Grande,CA,83,San Luis Obispo,CA
50017,Mercy General Hospital,Sacramento,CA,5200,Sacramento,CA,77,Sacramento,CA
50018,Pacific Alliance Medical Center,Los Angeles,CA,5126,Los Angeles,CA,56,Los Angeles,CA
50022,Riverside Community Hospital,Riverside,CA,5198,Riverside,CA,79,San Bernardino,CA
50024,Paradise Valley Hospital,National City,CA,5151,National City,CA,80,San Diego,CA
50025,UC San Diego Health System,San Diego,CA,5205,San Diego,CA,80,San Diego,CA
50026,Sharp Grossmont Hospital,La Mesa,CA,5109,La Mesa,CA,80,San Diego,CA
